Playlist Id                                                         | Trade| Year  | Module   | Title                                                     | Description                                                                                                                                                                                         | Youtube video link                              | Google Forms
playlist?list=PL82K0I4-0q_y1veGsqlZWQXyIZ93zzSjB&si=zPsXEx0y0bgR0NJn| ICTSM| Year 2| Module 1 | 1 Linux OS                                                | An advanced instructional video for second-year ITI ICTSM students focusing on Linux operating system administration, command-line operations, and system configuration.                            | ntXDkICB670?si=XKWgyU3H2VoBAT9O                 | 
playlist?list=PL82K0I4-0q_y1veGsqlZWQXyIZ93zzSjB&si=zPsXEx0y0bgR0NJn| ICTSM| Year 2| Module 1 | 2.1 Linux Command Line                                    | An essential introduction for ICTSM II Year students to the Linux Command Line interface, covering terminal navigation and basic directory structures.                                              | By901XBSYGs?si=aTWu_lqidqKGotk7                 | 
playlist?list=PL82K0I4-0q_y1veGsqlZWQXyIZ93zzSjB&si=zPsXEx0y0bgR0NJn| ICTSM| Year 2| Module 1 | 2.2 Linux Command Line                                    | A continuation of the Linux command series, focusing on core file management, text manipulation, and viewing commands for system administration.                                                    | tyraKtLi4Yw?si=DWBQibqT8ydruq5M                 | 
playlist?list=PL82K0I4-0q_y1veGsqlZWQXyIZ93zzSjB&si=zPsXEx0y0bgR0NJn| ICTSM| Year 2| Module 1 | 2.3 Linux Command Line                                    | A deep dive into intermediate Linux operations, covering user permissions, file ownership, and critical command-line utilities for ICTSM students.                                                  | q1rbCf4kQwE?si=O9pj9-ZvILztfcPc                 | 
playlist?list=PL82K0I4-0q_y1veGsqlZWQXyIZ93zzSjB&si=zPsXEx0y0bgR0NJn| ICTSM| Year 2| Module 1 | 2.4 Linux Command Line                                    | The final installment of the series, mastering advanced Linux command-line techniques, process management, and essential system troubleshooting tools.                                              | Zp1biPJujzk?si=LpV_iNuTOIHjYeU5                 | 
playlist?list=PL82K0I4-0q_y1veGsqlZWQXyIZ93zzSjB&si=zPsXEx0y0bgR0NJn| ICTSM| Year 2| Module 1 | 6 Electronic signals                                      | A technical guide for second-year ITI ICTSM students exploring the characteristics, generation, and application of analog and digital electronic signals in communication systems.                  | zd-Hv0Jh50c?si=YPHqbf-sYDaXKoZA                 | 
playlist?list=PL82K0I4-0q_wdOhSZVtUeeHZq8KSoY12N&si=5psrBPmZQim-txjP| ICTSM| Year 2| Module 2 | 1 Printers & Plotters                                     | Learn the working principles, interfacing methods, and maintenance of various impact, non-impact printers, and large-format plotters, tailored for 1st-year students in the ICTSM Trade.            | https://youtu.be/bimSit-T8js?si=F9h39YxRqVUAKo0Y
playlist?list=PL82K0I4-0q_wdOhSZVtUeeHZq8KSoY12N&si=5psrBPmZQim-txjP| ICTSM| Year 2| Module 2 | 12 How an inkjet printer works                            | Learn the mechanics of thermal and piezoelectric print heads, ink delivery systems, and precise droplet deposition, tailored for 1st-year students in the ICTSM Trade.                              | https://youtu.be/k6e339i9vb4?si=X1f4-ZGfzxargStv
playlist?list=PL82K0I4-0q_x1uYURJN_hvu62trg26qkb&si=PYF1RzEO7zeNIdpu| ICTSM| Year 2| Module 3 | 1 Scanner and MFD                                         | Learn the working principles, component identification, and scanning mechanisms of optical scanners and Multi-Function Devices (MFDs), tailored for 1st-year students in the ICTSM Trade.           | https://youtu.be/uJhJ0_BZodE?si=jlWIktW4AS2Id11g
playlist?list=PL82K0I4-0q_x1uYURJN_hvu62trg26qkb&si=PYF1RzEO7zeNIdpu| ICTSM| Year 2| Module 3 | 2 Network Mapping                                         | Learn how to identify active network devices, map physical and logical topologies, and use essential network discovery tools, tailored for 1st-year students in the ICTSM Trade.                    | https://youtu.be/g47a-kZJx6E?si=e1ChKpmR1zcNQPri
playlist?list=PL82K0I4-0q_x1uYURJN_hvu62trg26qkb&si=PYF1RzEO7zeNIdpu| ICTSM| Year 2| Module 3 | 3 Working principle of Passbook printer                   | Learn the mechanical operations, automated alignment systems, and unique print head designs of specialized passbook printers, tailored for 1st-year students in the ICTSM Trade.                    | https://youtu.be/2A75_o9eBRc?si=ozj8jc_a943KGKty
playlist?list=PL82K0I4-0q_x1uYURJN_hvu62trg26qkb&si=PYF1RzEO7zeNIdpu| ICTSM| Year 2| Module 3 | 4 Why do I Need a print server                            | Learn the core advantages of centralized print management, network sharing, and managing high-volume print queues through print servers, tailored for 1st-year students in the ICTSM Trade.         | https://youtu.be/DKnQ1W-qeYw?si=F_uv3LdvwRk31uHL
playlist?list=PL82K0I4-0q_xjWtGvP-vRBybkhgv9D1Y3&si=zquFObyqfCSOPzKm| ICTSM| Year 2| Module 4 | 1 Monitor, Display Card and Driver                        | Learn the working principles of display monitors, graphics card architectures, and how to install and update video drivers, tailored for 1st-year students in the ICTSM Trade.                      | https://youtu.be/A9f9LSA-4xA?si=94tpp8nMh2EpKkt5
playlist?list=PL82K0I4-0q_xjWtGvP-vRBybkhgv9D1Y3&si=zquFObyqfCSOPzKm| ICTSM| Year 2| Module 4 | 2 Display card components                                 | Learn to identify key display card components, including the GPU, VRAM, cooling systems, and video output interfaces, tailored for 1st-year students in the ICTSM Trade.                            | https://youtu.be/E8SWWhQJzNo?si=TWAAn7pRbsp-Syyh
playlist?list=PL82K0I4-0q_xjWtGvP-vRBybkhgv9D1Y3&si=zquFObyqfCSOPzKm| ICTSM| Year 2| Module 4 | 3 3 CRT TO LCD                                            | Learn about the evolution of display technology, comparing cathode-ray tubes (CRTs) with liquid-crystal displays (LCDs), tailored for 1st-year students in the ICTSM Trade.                         | https://youtu.be/hx2goiBG9t8?si=MiBlC_IZbjNUY9zj
playlist?list=PL82K0I4-0q_yG6DgYtBvzx6XGhqW2zHiG&si=wjUNjK3ETQZtavFM| ICTSM| Year 2| Module 5 | 1 Sound Card                                              | Learn how sound cards convert digital data to analog audio signals, identify key hardware components and audio ports, tailored for 1st-year students in the ICTSM Trade.                            | https://youtu.be/4ISDIm5La1o?si=kle08zR8RDIB1_sL
playlist?list=PL82K0I4-0q_zCnYd3BbcalloxKGLkNdr1&si=U4cfYqTs0EWjLBLk| ICTSM| Year 2| Module 6 | 1 UPS (Uninterruptible Power Supply)                      | Learn the working principles, internal components, and core maintenance of online and offline UPS systems, tailored for 1st-year students in the ICTSM Trade.                                       | https://youtu.be/TNQxpDAmcj0?si=nElu2EhheuQNJnSo
playlist?list=PL82K0I4-0q_zCnYd3BbcalloxKGLkNdr1&si=U4cfYqTs0EWjLBLk| ICTSM| Year 2| Module 6 | 2 UPS Your protective shield                              | Learn how a UPS acts as a protective shield against power surges, sags, and spikes to safeguard sensitive computer hardware, tailored for 1st-year students in the ICTSM Trade.                     | https://youtu.be/o5fv37wbZ3M?si=WpUKuSE8g9hM4Jo7
playlist?list=PL82K0I4-0q_zCnYd3BbcalloxKGLkNdr1&si=U4cfYqTs0EWjLBLk| ICTSM| Year 2| Module 6 | 3 UPS Double the life                                     | Learn practical maintenance tips, battery optimization techniques, and proper load management strategies to double the life of a UPS, tailored for 1st-year students in the ICTSM Trade.            | https://youtu.be/giuVCOPbo_Y?si=b8KyzuD6SoBned5m
playlist?list=PL82K0I4-0q_yqnjzOti0p42mN0JD4zIac&si=G620gmIKij6QHmy8| ICTSM| Year 2| Module 7 | 1 Modem Fundamentals                                      | Learn the fundamental concepts of modulation and demodulation, signal conversion, and standard communication interfaces of network modems, tailored for 1st-year students in the ICTSM Trade.       | https://youtu.be/0-BicGdcIL8?si=8-bwr_YmBKSGfcna
playlist?list=PL82K0I4-0q_yqnjzOti0p42mN0JD4zIac&si=G620gmIKij6QHmy8| ICTSM| Year 2| Module 7 | 2 Invisible light                                         | Learn how invisible infrared and light waves are utilized in wireless optical communication, sensors, and remote systems, tailored for 1st-year students in the ICTSM Trade.                        | https://youtu.be/y4RbVVH8D8Q?si=fPgQUbtwnDzEwrdM
playlist?list=PL82K0I4-0q_w0Fc1tSEzBkoMDJIDVfOfg&si=j6zzt4v-TlJNneGa| ICTSM| Year 2| Module 8 | 1 Add on Cards                                            | Learn to identify, install, and configure various expansion cards like network, storage, and audio cards in expansion slots, tailored for 1st-year students in the ICTSM Trade.                     | https://youtu.be/1TE9RWBbiq8?si=3Nvp7UfrjTZ6RQ9-
playlist?list=PL82K0I4-0q_xjrWwSgt9SsmzaQzdNZslB&si=ivHzM4JCWaUlHk2C| ICTSM| Year 2| Module 9 | 1 Add on Cards                                            | Learn how to select, install, and troubleshoot various expansion and peripheral adapter cards on a motherboard, tailored for 1st-year students in the ICTSM Trade.                                  | https://youtu.be/ixVzB9ufDAM?si=vKPwZUiKLXgDGiJX
playlist?list=PL82K0I4-0q_xjrWwSgt9SsmzaQzdNZslB&si=ivHzM4JCWaUlHk2C| ICTSM| Year 2| Module 9 | 2 connection,USB                                          | Learn the pin configurations, communication protocols, and hot-swapping principles of USB connections and interface standards, tailored for 1st-year students in the ICTSM Trade.                   | https://youtu.be/y2R3EoakDfQ?si=fie-ilAjxgfRwIR-
playlist?list=PL82K0I4-0q_x24e5DKzM83jWUeFwoDmz5&si=c5YrVlYOeXmRgTQI| ICTSM| Year 2| Module 10| 1 Troubleshooting Computer POST Errors and System Failures| Learn how to interpret BIOS beep codes, diagnose POST failures, and systematically isolate hardware issues during system boot, tailored for 1st-year students in the ICTSM Trade.                   | https://youtu.be/LH98Qp_kmvw?si=cdmrIM1Tpsd8wd5O
playlist?list=PL82K0I4-0q_x24e5DKzM83jWUeFwoDmz5&si=c5YrVlYOeXmRgTQI| ICTSM| Year 2| Module 10| 2 The secret language of machines                         | Learn how binary numbers, machine code, and low-level communication protocols form the secret language of hardware, tailored for 1st-year students in the ICTSM Trade.                              | https://youtu.be/hSWTDTL2HG0?si=e13r0LAenG9mi-7_
playlist?list=PL82K0I4-0q_z6wLo4MB7mhTfNnEBN887J&si=poPwd2KGABZOGSnM| ICTSM| Year 2| Module 11| 1 Upgrade PC                                              | Learn how to assess system compatibility, safely handle components, and upgrade key hardware elements like RAM and storage, tailored for 1st-year students in the ICTSM Trade.                      | https://youtu.be/HWDSHKsPUFQ?si=dq5N-pz0I-GGYvIL
playlist?list=PL82K0I4-0q_yC-S1j04GamtE7snYl3iLN&si=RoAgP0RcIjQtYDCo| ICTSM| Year 2| Module 12| 1 Magnetic Backup Drive Technologies                      | Learn the working principles, storage mechanisms, and systematic maintenance of magnetic tape and backup drive technologies, tailored for 1st-year students in the ICTSM Trade.                     | https://youtu.be/d910x6whyB8?si=JGgkaf8VqTuGWDSL
playlist?list=PL82K0I4-0q_who8O2iRlTP8aoskhR576s&si=AYllSqz7APzx83g3| ICTSM| Year 2| Module 13| 1 PC Maintenance and Troubleshooting                      | Learn standard preventive maintenance routines, diagnostic software utilities, and logical hardware troubleshooting steps for personal computers, tailored for 1st-year students in the ICTSM Trade.| https://youtu.be/gzO8XOHh4uM?si=c137Sww64l8F5c67
playlist?list=PL82K0I4-0q_who8O2iRlTP8aoskhR576s&si=AYllSqz7APzx83g3| ICTSM| Year 2| Module 13| 2 Computer Hardware Troubleshooting                       | Learn logical diagnostic techniques, hardware isolation steps, and common peripheral troubleshooting methods to resolve system faults, tailored for 1st-year students in the ICTSM Trade.           | https://youtu.be/e2ImS7rTxts?si=daNAfeHFWBwtkwTm
playlist?list=PL82K0I4-0q_who8O2iRlTP8aoskhR576s&si=AYllSqz7APzx83g3| ICTSM| Year 2| Module 13| 3 PC Hardware Troubleshooting                             | Learn advanced hardware diagnostic steps, component testing methodologies, and permanent solutions for critical PC system faults, tailored for 1st-year students in the ICTSM Trade.                | https://youtu.be/7MEG96Sv87c?si=GeqUjnW-Uh-SAw6P
playlist?list=PL82K0I4-0q_who8O2iRlTP8aoskhR576s&si=AYllSqz7APzx83g3| ICTSM| Year 2| Module 13| 4 BIOS and CMOS Troubleshooting                           | Learn how to configure BIOS settings, reset forgotten CMOS passwords, replace the CMOS battery, and troubleshoot firmware boot errors, tailored for 1st-year students in the ICTSM Trade.           | https://youtu.be/oaKpSzhanos?si=k3K1udcBXV5aWJH3
playlist?list=PL82K0I4-0q_who8O2iRlTP8aoskhR576s&si=AYllSqz7APzx83g3| ICTSM| Year 2| Module 13| 5 The Hardware Troubleshooting                            | Learn the comprehensive, step-by-step methodology for isolating and resolving complex hardware conflicts and physical failures, tailored for 1st-year students in the ICTSM Trade.                  | https://youtu.be/-nvYqPuujRc?si=ZaVpXAmmAVMJEtLp
playlist?list=PL82K0I4-0q_who8O2iRlTP8aoskhR576s&si=AYllSqz7APzx83g3| ICTSM| Year 2| Module 13| 6 Motherboard and Hardware Troubleshooting                | Learn how to diagnose motherboard faults, inspect physical circuits, test voltage rails, and troubleshoot core hardware failures, tailored for 1st-year students in the ICTSM Trade.                | https://youtu.be/Is3HPGPlDqM?si=5mzMPqzZQ_vIYr_o
playlist?list=PL82K0I4-0q_zQy_A5ltgRFItTFv-ImPzK&si=Eeguu77uquvQ6iFM| ICTSM| Year 2| Module 14| 1 Tablet Systems                                          | Learn the functional architecture, operating system differences, and everyday usage of modern tablet systems compared to traditional PCs, tailored for 1st-year students in the ICTSM Trade.        | https://youtu.be/UU8K0QK2aGM?si=MV-_z17eemBoYj6c
playlist?list=PL82K0I4-0q_zQy_A5ltgRFItTFv-ImPzK&si=Eeguu77uquvQ6iFM| ICTSM| Year 2| Module 14| 2 Tablet Hardware Components                              | Learn to identify and test internal tablet hardware components, including the SoC, battery modules, display digitizers, and compact sensors, tailored for 1st-year students in the ICTSM Trade.     | https://youtu.be/f1rFR6ACLag?si=N2S3iZWUet0ENsqU
playlist?list=PL82K0I4-0q_zQy_A5ltgRFItTFv-ImPzK&si=Eeguu77uquvQ6iFM| ICTSM| Year 2| Module 14| 3 Tablet Maintenance                                      | Learn essential preventive maintenance routines, battery health optimization, and safe firmware update procedures for tablet systems, tailored for 1st-year students in the ICTSM Trade.            | https://youtu.be/WCaYwrJRJ1Y?si=T_KoaH8GlSvjJg-j
playlist?list=PL82K0I4-0q_wXRIOwEQxYHHOHCJbJKxOK&si=Y-xDtiSyO1CUJjAh| ICTSM| Year 2| Module 15| 1 Internet and Web Browser Fundamentals                   | Learn the core architecture of the internet, HTTP/HTTPS protocols, DNS basics, and secure configuration of modern web browsers, tailored for 1st-year students in the ICTSM Trade.                  | https://youtu.be/i9RfEkpkjrQ?si=a4DhgYQAaun0NPMu
playlist?list=PL82K0I4-0q_wXRIOwEQxYHHOHCJbJKxOK&si=Y-xDtiSyO1CUJjAh| ICTSM| Year 2| Module 15| 2 Google Search Techniques and Bookmarking Strategies     | Learn how to use advanced search operators, filter web results effectively, and manage browser bookmarks efficiently, tailored for 1st-year students in the ICTSM Trade.                            | https://youtu.be/80YFVxo2iyg?si=OSGSr0wHBFF_ZD8c
playlist?list=PL82K0I4-0q_wXRIOwEQxYHHOHCJbJKxOK&si=Y-xDtiSyO1CUJjAh| ICTSM| Year 2| Module 15| 3 Understanding Email Systems                             | Learn how email architectures, mail transfer protocols like SMTP, POP3, and IMAP, and secure inbox management work, tailored for 1st-year students in the ICTSM Trade.                              | https://youtu.be/Pe2Ud7p3hqo?si=fcx6uiJIJ7viOD-j
