Playlist Id                                                         | Trade | Year  | Module  | Title                                            | Description                                                                                                                                                                                         | Youtube video link id
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Arc Welding Defects(11)                          | An essential troubleshooting guide for ITI Welder students explaining common arc welding defects, their root causes, and practical corrective actions to ensure quality welds.                      | ja48KeEUEf4?si=-vBBdZUaobOzyTvz
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Fundamentals of Pipe Welding(12)                 | An essential training video for Welder trade students covering the core techniques of pipe welding and how to identify, prevent, and rectify common arc welding defects.                            | G6yggfvktWM?si=uP2_JKkBgTRL2dfp
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Industrial Pipe Welding Procedures(13)           | A comprehensive guide for ITI Welder students detailing industrial pipe welding procedures, including joint preparation, positioning, and safety standards for robust structural welds.             | b1LfdWqFWeY?si=qPjNzc_PC6wcXAcW
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Plate Versus Pipe Welding Techniques(14)         | A fundamental training guide for ITI Welder students comparing the unique joint configurations, positioning challenges, and technique variations between plate and pipe welding.                    | vboJW0FwpBY?si=7FniX6mN2_iJm6i0
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Pipe Pattern Development Techniques(15)          | A practical, step-by-step guide for ITI Welder students on mastering pipe pattern development layouts, template marking, and precise cutting techniques for pipe joints.                            | vboJW0FwpBY?si=IDFPWUL2dCETVWsU
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Cylindrical Pipe Development(16)                 | A practical, step-by-step guide for ITI Welder students on creating accurate surface development layouts for cylindrical pipes before cutting and fabrication.                                      | 2qKOzXFXpW0?si=xuxqCXBChR2NYqmm
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Gas Welding Manifold Systems and Filler Rod(17)  | An essential training guide for ITI Welder students on the setup of gas welding manifold systems, gas safety regulations, and the correct selection of filler rods.                                 | VHiF7eT4i10?si=cErWnHVfsqOZGNyd
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Gas Welding Fluxes(18)                           | An essential technical guide for ITI Welder students explaining the purpose, types, and correct application of fluxes in gas welding to prevent oxidation and ensure strong joints.                 | BSomS7T9_9Q?si=odgwsXf1-hgne5_n
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Brazing and Soldering(19)                        | An essential instructional video for ITI Welder students explaining the fundamentals, equipment, and step-by-step techniques for professional brazing and soldering operations.                     | 52LA1FeA2f0?si=5_LzDe8mAHjNyJet
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Gas Welding Defects(20)                          | An essential guide for ITI Welder students identifying common gas welding defects, their root causes, and practical corrective actions to ensure quality welds.                                     | QojTpqgiWvo?si=ze5NP3FPYSAVXskM
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Welding Electrode Fundamentals(21)               | An essential foundational guide for ITI Welder students explaining different welding electrode types, their classification codes, and proper selection criteria for various metals.                 | FrsfEALWu6c?si=7aU-Y5OFs3GPClvx
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Welding Electrode Classification(22)             | An essential guide for ITI Welder students explaining the standard classification systems, coding symbols, and selection criteria for different types of welding electrodes.                        | 0azzS5Bhxec?si=MwgdqEpJdlqD7U80
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Electrode Care and Thermal Control(23)           | An essential training video for ITI Welder students on the proper storage, handling, and reconditioning of welding electrodes alongside crucial heat-control techniques to prevent distortion.      | sM0NVBI1YFg?si=-Q_4AGfseAVDr3NF
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Metallurgy of Carbon and Alloy Steels(24)        | An essential technical session for ITI Welder students explaining the internal structure, heat treatment principles, and weldability of carbon and alloy steels.                                    | 43Ts2TU2S1A?si=3Pyz0BXdCXY9QV6H
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Stainless Steel Welding(25)                      | An essential training session for ITI Welder students detailing the techniques, safety protocols, and optimal filler materials required for high-quality stainless steel welding.                   | GfyUFuK2Img?si=7ooyFYOyfrTHVK8P
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Welding and Brazing Copper Tubes(26)             | A foundational training video for ITI Welder students demonstrating the essential techniques, safety protocols, and joint preparation methods for welding and brazing copper tubes.                 | -ML5N1FRmAI?si=GG1Gw8pvvhsWRTjJ
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Copper Welding Techniques(27)                    | A specialized technical session for ITI Welder students covering the essentials of copper welding, including material preparation, joint design, and specific gas or arc welding techniques.        | 3PEpgJ5wQmA?si=EYtOOlr-sTrt_Us-
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Brazing Tools and Aluminum Welding Metallurgy(28)| An essential technical session for ITI Welder students explaining the selection of specialized brazing tools and the metallurgical principles of welding aluminum and its alloys.                   | Ev0TM0K1WRM?si=mxIi3uTGfFFXBvMk
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Principles of Arc Cutting and Gouging(29)        | An essential theory session for ITI Welder students explaining the fundamental principles, safety rules, equipment setups, and techniques required for efficient air carbon arc cutting and gouging.| IvvjSISF_Fc?si=mFjCxQa5nI-fMJLw
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Cast Iron Welding Metallurgy and Techniques(3)   | A specialized technical guide for Welder trade students covering the metallurgy of cast iron, preheating requirements, and essential welding techniques to prevent cracking.                        | vZVtky5KTR8?si=qCQ9bOnezYTqkALk
