Playlist ID                                                         | Trade | Year  | Module  | Title                                                | Description                                                                                                                                                                                             | Youtube video link
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Gas Welding Techniques(7)                            | A foundational training session for ITI Welder students covering essential gas welding techniques, flame adjustment, safety protocols, and proper equipment handling.                                   | 7mwtkoUP9Ok?si=84XtmDclq2rCP3Zb
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Mastering Arc Blow(8)                                | An essential technical guide for ITI Welder students on understanding, preventing, and controlling arc blow to ensure high-quality, defect-free welding joints.                                         | hFcdgm-12fk?si=MPcSJZFlwv7fzE3Y
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Controlling Distortion in Arc(9)                     | A practical training guide for ITI Welder students explaining the causes of distortion in arc welding and the essential techniques used to prevent and control it.                                      | wfZoIshEkC8?si=rxyvAnFHs-q3-4Oq
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Techniques for Controlling Welding Distortion(10)    | A practical guide for ITI Welder students exploring effective clamping, sequencing, and thermal techniques to prevent and control distortion during welding operations.                                 | z3L3f5_bAlM?si=6CnA-GsFpW7-egun
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Arc Welding Defects(11)                              | An essential troubleshooting guide for ITI Welder students explaining common arc welding defects, their root causes, and practical corrective actions to ensure quality welds.                          | ja48KeEUEf4?si=-vBBdZUaobOzyTvz
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Fundamentals of Pipe Welding(12)                     | An essential training video for Welder trade students covering the core techniques of pipe welding and how to identify, prevent, and rectify common arc welding defects.                                | G6yggfvktWM?si=uP2_JKkBgTRL2dfp
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Industrial Pipe Welding Procedures(13)               | A comprehensive guide for ITI Welder students detailing industrial pipe welding procedures, including joint preparation, positioning, and safety standards for robust structural welds.                 | b1LfdWqFWeY?si=qPjNzc_PC6wcXAcW
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Plate Versus Pipe Welding Techniques(14)             | A fundamental training guide for ITI Welder students comparing the unique joint configurations, positioning challenges, and technique variations between plate and pipe welding.                        | vboJW0FwpBY?si=7FniX6mN2_iJm6i0
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Pipe Pattern Development Techniques(15)              | A practical, step-by-step guide for ITI Welder students on mastering pipe pattern development layouts, template marking, and precise cutting techniques for pipe joints.                                | vboJW0FwpBY?si=IDFPWUL2dCETVWsU
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Cylindrical Pipe Development(16)                     | A practical, step-by-step guide for ITI Welder students on creating accurate surface development layouts for cylindrical pipes before cutting and fabrication.                                          | 2qKOzXFXpW0?si=xuxqCXBChR2NYqmm
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Gas Welding Manifold Systems and Filler Rod(17)      | An essential training guide for ITI Welder students on the setup of gas welding manifold systems, gas safety regulations, and the correct selection of filler rods.                                     | VHiF7eT4i10?si=cErWnHVfsqOZGNyd
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Gas Welding Fluxes(18)                               | An essential technical guide for ITI Welder students explaining the purpose, types, and correct application of fluxes in gas welding to prevent oxidation and ensure strong joints.                     | BSomS7T9_9Q?si=odgwsXf1-hgne5_n
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Brazing and Soldering(19)                            | An essential instructional video for ITI Welder students explaining the fundamentals, equipment, and step-by-step techniques for professional brazing and soldering operations.                         | 52LA1FeA2f0?si=5_LzDe8mAHjNyJet
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Gas Welding Defects(20)                              | An essential guide for ITI Welder students identifying common gas welding defects, their root causes, and practical corrective actions to ensure quality welds.                                         | QojTpqgiWvo?si=ze5NP3FPYSAVXskM
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Welding Electrode Fundamentals(21)                   | An essential foundational guide for ITI Welder students explaining different welding electrode types, their classification codes, and proper selection criteria for various metals.                     | FrsfEALWu6c?si=7aU-Y5OFs3GPClvx
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Welding Electrode Classification(22)                 | An essential guide for ITI Welder students explaining the standard classification systems, coding symbols, and selection criteria for different types of welding electrodes.                            | 0azzS5Bhxec?si=MwgdqEpJdlqD7U80
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Electrode Care and Thermal Control(23)               | An essential training video for ITI Welder students on the proper storage, handling, and reconditioning of welding electrodes alongside crucial heat-control techniques to prevent distortion.          | sM0NVBI1YFg?si=-Q_4AGfseAVDr3NF
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Metallurgy of Carbon and Alloy Steels(24)            | An essential technical session for ITI Welder students explaining the internal structure, heat treatment principles, and weldability of carbon and alloy steels.                                        | 43Ts2TU2S1A?si=3Pyz0BXdCXY9QV6H
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Stainless Steel Welding(25)                          | An essential training session for ITI Welder students detailing the techniques, safety protocols, and optimal filler materials required for high-quality stainless steel welding.                       | GfyUFuK2Img?si=7ooyFYOyfrTHVK8P
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Welding and Brazing Copper Tubes(26)                 | A foundational training video for ITI Welder students demonstrating the essential techniques, safety protocols, and joint preparation methods for welding and brazing copper tubes.                     | -ML5N1FRmAI?si=GG1Gw8pvvhsWRTjJ
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Copper Welding Techniques(27)                        | A specialized technical session for ITI Welder students covering the essentials of copper welding, including material preparation, joint design, and specific gas or arc welding techniques.            | 3PEpgJ5wQmA?si=EYtOOlr-sTrt_Us-
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Brazing Tools and Aluminum Welding Metallurgy(28)    | An essential technical session for ITI Welder students explaining the selection of specialized brazing tools and the metallurgical principles of welding aluminum and its alloys.                       | Ev0TM0K1WRM?si=mxIi3uTGfFFXBvMk
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Principles of Arc Cutting and Gouging(29)            | An essential theory session for ITI Welder students explaining the fundamental principles, safety rules, equipment setups, and techniques required for efficient air carbon arc cutting and gouging.    | IvvjSISF_Fc?si=mFjCxQa5nI-fMJLw
playlist?list=PL82K0I4-0q_xDFf6_w-RZv5STleSfb40f&si=0BXjkS2fjSqQOhGU| WELDER| Year 1| Module 3| Cast Iron Welding Metallurgy and Techniques(3)       | A specialized technical guide for Welder trade students covering the metallurgy of cast iron, preheating requirements, and essential welding techniques to prevent cracking.                            | vZVtky5KTR8?si=qCQ9bOnezYTqkALk
playlist?list=PL82K0I4-0q_xZBAvpNpPYqJ7m6pNIY005&si=EZwRwA3Tu5_LpIBM| WELDER| Year 1| Module 4| Welding Inspection and Testing(1)                    | An essential technical overview for ITI Welder students detailing destructive and non-destructive testing (NDT) methods used to evaluate weld quality and ensure safety standards.                      | Q6LBz_xIdGw?si=eJJEJ-DwIfVnxt-q
playlist?list=PL82K0I4-0q_xZBAvpNpPYqJ7m6pNIY005&si=EZwRwA3Tu5_LpIBM| WELDER| Year 1| Module 4| Principles of Industrial Weld Testing and Analysis(2)| An essential training video for ITI Welder students explaining the core principles of destructive and non-destructive weld testing, quality analysis, and defect inspection techniques.                 | 9d8VERG2fiw?si=Q2_bYfPaTbKgRUtM
playlist?list=PL82K0I4-0q_xZBAvpNpPYqJ7m6pNIY005&si=EZwRwA3Tu5_LpIBM| WELDER| Year 1| Module 4| Welding Economics(3)                                 | A comprehensive overview for ITI Welder students analyzing the factors that influence welding production costs, including material selection, labor efficiency, and power consumption.                  | XQ_CRQTkVrs?si=Lk10nFYqjJrjrHfl
playlist?list=PL82K0I4-0q_xBMdIs2qBr-KxjdZXjod7R&si=aU3qtJ-S0dxC-MSO| WELDER| Year 1| Module 5| Gas Metal Arc Welding Fundamentals(1)                | An essential introductory guide for Welder trade students covering the fundamental principles, equipment setup, and core techniques of Gas Metal Arc Welding (GMAW/MIG).                                | 5EIO0R_m0yg?si=BH-dsQ7zFVvQj8ly
playlist?list=PL82K0I4-0q_xBMdIs2qBr-KxjdZXjod7R&si=aU3qtJ-S0dxC-MSO| WELDER| Year 1| Module 5| Fundamentals of Gas Metal Arc Welding(2)             | A foundational training session for Welder trade students covering the core principles, equipment setup, and essential techniques of Gas Metal Arc Welding (GMAW/MIG).                                  | yMTU6hBTuto?si=jmGjPn-oFiH-nMgb
playlist?list=PL82K0I4-0q_xBMdIs2qBr-KxjdZXjod7R&si=aU3qtJ-S0dxC-MSO| WELDER| Year 1| Module 5| GMAW Wire(3)                                         | An essential training video for ITI Welder students explaining Gas Metal Arc Welding (GMAW) wire types, classification, and selecting the correct filler metal for different materials.                 | UGIXBYhnVcc?si=nst5B5EID4HYHgzg
playlist?list=PL82K0I4-0q_xBMdIs2qBr-KxjdZXjod7R&si=aU3qtJ-S0dxC-MSO| WELDER| Year 1| Module 5| Gas Metal and Flux Cored Arc(4)                      | An essential training video for ITI Welder students covering the principles, equipment setup, and techniques for Gas Metal Arc Welding (GMAW) and Flux-Cored Arc Welding (FCAW).                        | D3RI1bbEPAY?si=ICtuW3K1k4Ln-wbg
playlist?list=PL82K0I4-0q_xBMdIs2qBr-KxjdZXjod7R&si=aU3qtJ-S0dxC-MSO| WELDER| Year 1| Module 5| GMAW Edge Preparation(5)                             | A practical training session for ITI Welder students explaining essential joint design and edge preparation techniques for Gas Metal Arc Welding (GMAW).                                                | 0Q0Imb9yRZk?si=qRvwZ6y6AGFdR9ka
playlist?list=PL82K0I4-0q_xBMdIs2qBr-KxjdZXjod7R&si=aU3qtJ-S0dxC-MSO| WELDER| Year 1| Module 5| Welding Heat Input(6)                                | An essential technical overview for ITI Welder students explaining the calculation of welding heat input, its variables, and its critical impact on microstructural changes and weld quality.           | c31WFmCxX4Y?si=gA8WCTDjCfGI0YYc
playlist?list=PL82K0I4-0q_xBMdIs2qBr-KxjdZXjod7R&si=aU3qtJ-S0dxC-MSO| WELDER| Year 1| Module 5| Gas Metal Arc Welding(7)                             | An essential training video for Welder trade students covering the core principles, equipment setup, and proper techniques of Gas Metal Arc Welding (GMAW/MIG).                                         | rnuWrodDx8k?si=ueC2lc0pqgvCSjeI
playlist?list=PL82K0I4-0q_xBMdIs2qBr-KxjdZXjod7R&si=aU3qtJ-S0dxC-MSO| WELDER| Year 1| Module 5| Submerged Arc Welding(8)                             | A foundational video for Welder trade students explaining the principles, equipment, and safety protocols of the Submerged Arc Welding (SAW) process.                                                   | geWd9v0QMOg?si=NFUuBvfWAaROFYOG
playlist?list=PL82K0I4-0q_xBMdIs2qBr-KxjdZXjod7R&si=aU3qtJ-S0dxC-MSO| WELDER| Year 1| Module 5| Thermit Welding Processes(9)                         | A specialized training video for ITI Welder students explaining the principles, equipment setup, and chemical reactions involved in the Thermit welding process.                                        | a7pawqGdd1s?si=0caUFGzpl7CoDdUt
playlist?list=PL82K0I4-0q_weU4o4YWyMilYirhJATM1R&si=Qbje1W0Af-xRhk5r| WELDER| Year 1| Module 6| Gas Tungsten Arc Welding(1)                          | An essential training session for ITI Welder students covering the core concepts, equipment setup, and techniques for Gas Tungsten Arc Welding (GTAW) and Thermit welding processes.                    | he_cr2UGin8?si=8XyKtlZwe9KBKsJI
playlist?list=PL82K0I4-0q_weU4o4YWyMilYirhJATM1R&si=Qbje1W0Af-xRhk5r| WELDER| Year 1| Module 6| GTAW Current Types(2)                                | An essential technical guide for ITI Welder students explaining GTAW (TIG) current types—DCEN, DCEP, and AC—and their specific effects on penetration, cleaning action, and electrode life.             | OoZQ7f7l2Rk?si=i3vHUoRvxb4V8Kaw
playlist?list=PL82K0I4-0q_weU4o4YWyMilYirhJATM1R&si=Qbje1W0Af-xRhk5r| WELDER| Year 1| Module 6| GTAW ACDC Power(3)                                   | An essential technical session for ITI Welder students explaining the principles of AC/DC power sources in Gas Tungsten Arc Welding (GTAW/TIG), focusing on current selection and polarity effects.     | WKXKC466-_U?si=qp8zbb30HAygcwfM
playlist?list=PL82K0I4-0q_weU4o4YWyMilYirhJATM1R&si=Qbje1W0Af-xRhk5r| WELDER| Year 1| Module 6| Tungsten Electrodes(4)                               | An essential technical guide for ITI Welder students explaining the different types of tungsten electrodes, color-coding standards, and their specific applications in TIG welding.                     | g_VEUwQyJMQ?si=p9qwPIwdbQy0jdJ4
playlist?list=PL82K0I4-0q_weU4o4YWyMilYirhJATM1R&si=Qbje1W0Af-xRhk5r| WELDER| Year 1| Module 6| GTAW Torches(5)                                      | An essential technical guide for ITI Welder students explaining GTAW (TIG) torch components, collet and nozzle selections, and proper handling for precise arc control.                                 | tWgGyQSmgQY?si=U9gOaf1FBQbKGVu4
playlist?list=PL82K0I4-0q_weU4o4YWyMilYirhJATM1R&si=Qbje1W0Af-xRhk5r| WELDER| Year 1| Module 6| GTAW Filler Rods(6)                                  | A specialized training video for ITI Welder students explaining how to select and use GTAW (TIG) filler rods based on material composition, thickness, and welding specifications.                      | nQ2UsgYF-c4?si=OYrgGASJ0tco4oc5
playlist?list=PL82K0I4-0q_weU4o4YWyMilYirhJATM1R&si=Qbje1W0Af-xRhk5r| WELDER| Year 1| Module 6| Gas Tungsten Arc Welding(7)                          | An essential training guide for Welder trade students covering the core principles, equipment setup, and precise techniques of Gas Tungsten Arc Welding (GTAW/TIG).                                     | bLi64xkOK94?si=2mO3VIVCcEkvS_Hg
playlist?list=PL82K0I4-0q_weU4o4YWyMilYirhJATM1R&si=Qbje1W0Af-xRhk5r| WELDER| Year 1| Module 6| Friction and Laser Beam Welding(8)                   | An advanced training video for Welder trade students explaining the principles, equipment setups, and operational techniques for both Friction Welding and Laser Beam Welding.                          | UxaIeM8EU5Y?si=LHQgIpO3WzqPrYjR
playlist?list=PL82K0I4-0q_xE9u8v8brf4FHxNsS9fCJL&si=xpRQKf-Iof_pXv7y| WELDER| Year 1| Module 7| Metallizing and Powder Coating(1)                    | An essential technical overview for ITI Welder students explaining the processes, surface preparation, and protective benefits of metallizing and powder coating techniques.                            | JAleGOKyaYM?si=_mZKCh9ashF_Dm6M
playlist?list=PL82K0I4-0q_xE9u8v8brf4FHxNsS9fCJL&si=xpRQKf-Iof_pXv7y| WELDER| Year 1| Module 7| Blueprint for Assembly Drawing Reading(2)            | A fundamental training guide for ITI Welder students on interpreting engineering blueprints, decoding welding symbols, and understanding assembly drawings for fabrication.                             | BZNGXhMTdlA?si=s_mbL__0KybFNGQ4
playlist?list=PL82K0I4-0q_xE9u8v8brf4FHxNsS9fCJL&si=xpRQKf-Iof_pXv7y| WELDER| Year 1| Module 7| Welding Procedure Specifications(3)                  | An essential training video for ITI Welder students explaining how to read, interpret, and apply Welding Procedure Specifications (WPS) to ensure code-compliant and high-quality welds.                | 5DVzkJ5NhfE?si=cb3s7AB74CS0DOCD
playlist?list=PL82K0I4-0q_xE9u8v8brf4FHxNsS9fCJL&si=xpRQKf-Iof_pXv7y| WELDER| Year 1| Module 7| Hard Facing in Welding(4)                            | An essential training video for ITI Welder students explaining the hard facing process to extend component life by depositing wear-resistant alloys onto metal surfaces.                                | 84-JAykYIo0?si=AwHawjmVpNywbiGe
