Playlist ID                                                         | Trade| Year  | Module        | Title                                       | Description                                                                                                                                                                                      | Video Link
playlist?list=PL82K0I4-0q_y_WWZAgpLiEkMbie4cDNY_&si=Qti4wI7pqmyAuN2q| ICSTM| Year 1| Module 6      | 4 Half wave & Full wave Rectifiers          | Understand how half-wave and full-wave rectifiers convert AC to DC to provide stable, reliable power to sensitive ICT devices.                                                                   | kNaMoWGQ6SA?si=bPrXLNZ8GJQtiUHZ
playlist?list=PL82K0I4-0q_y_WWZAgpLiEkMbie4cDNY_&si=Qti4wI7pqmyAuN2q| ICSTM| Year 1| Module 6      | 5 Bridge Rectifiers                         | Discover how bridge rectifiers utilize four diodes to deliver efficient, full-wave AC-to-DC power conversion for stable ICT system operations.                                                   | vgyVfJ7B5E4?si=x-ZHduROHHLrSGS6
playlist?list=PL82K0I4-0q_y_WWZAgpLiEkMbie4cDNY_&si=Qti4wI7pqmyAuN2q| ICSTM| Year 1| Module 6      | 6 Filters & Rectifiers                      | Learn how filters work alongside rectifiers to smooth out AC ripples and deliver clean, stable DC power to sensitive ICT components.                                                             | rpBE4qVC09s?si=iYlvG_CKm15sJmhb
playlist?list=PL82K0I4-0q_y_WWZAgpLiEkMbie4cDNY_&si=Qti4wI7pqmyAuN2q| ICSTM| Year 1| Module 6      | 7 Zener diodes                              | Understand the unique breakdown characteristics of Zener diodes and how they are used for precise voltage regulation in ICT power supply circuits.                                               | 9MVTYmTu9VY?si=-WbEOQnp-zjwC2z6
playlist?list=PL82K0I4-0q_wa6bpO56fOMh3p1PG05OQg&si=7VDmU0pcL5fz2_fg| ICSTM| Year 1| Module 7      | 1 Transistors                               | Explore the working principles of transistors as electronic switches and amplifiers, and learn how to test them for ICT hardware troubleshooting.                                                | ifxwkclY2JU?si=dbk_QvV3QZEPNZtU
playlist?list=PL82K0I4-0q_wa6bpO56fOMh3p1PG05OQg&si=7VDmU0pcL5fz2_fg| ICSTM| Year 1| Module 7      | 2 Biasing of Trasistors                     | Understand how to set the correct DC operating point through transistor biasing to ensure stable amplification and switching in ICT electronic circuits.                                         | EH0IDF-w1zM?si=AklrlVnqiIm8fXTE
playlist?list=PL82K0I4-0q_wa6bpO56fOMh3p1PG05OQg&si=7VDmU0pcL5fz2_fg| ICSTM| Year 1| Module 7      | 3 Amplifier                                 | Discover how transistor-based amplifiers boost weak electronic signals to ensure clear, high-quality audio and data transmission in ICT systems.                                                 | KgUKe1rvSLA?si=0tXv-M8fsd42-2zA
playlist?list=PL82K0I4-0q_wa6bpO56fOMh3p1PG05OQg&si=7VDmU0pcL5fz2_fg| ICSTM| Year 1| Module 7      | 4 Emitter follower                          | Learn how the emitter follower circuit provides high input impedance and stable voltage gain for effective impedance matching in ICT communication systems.                                      | 5oedvwf_hBE?si=lt2ouGUmNTpMMSj0
playlist?list=PL82K0I4-0q_xmsiqdAmlWDfl4vDXvSzMO&si=GP3ISfAZNXXH9vTC| ICSTM| Year 1| Module 8      | 1 FET                                       | Master the working principles, terminal configurations, and switching characteristics of Field Effect Transistors ($FETs$) used in modern ICT hardware and low-power circuits.                   | 7iW9bRuvtnE?si=zkY7taK8gOWmthSz
playlist?list=PL82K0I4-0q_xmsiqdAmlWDfl4vDXvSzMO&si=GP3ISfAZNXXH9vTC| ICSTM| Year 1| Module 8      | 2 UJT                                       | Learn the operating principles of the Unijunction Transistor ($UJT$) and how it is used as a relaxation oscillator and trigger device in ICT power control circuits.                             | 3xRbvDO-wTU?si=5LbTPEK6DJkNdED8
playlist?list=PL82K0I4-0q_xmsiqdAmlWDfl4vDXvSzMO&si=GP3ISfAZNXXH9vTC| ICSTM| Year 1| Module 8      | 3 SCR & TRIAC                               | Understand the operating principles and switching characteristics of SCRs and TRIACs used for heavy-duty power control and AC switching in ICT systems.                                          | AhC_YjiGhgY?si=VjMFpwk7CtH2ZGnd
playlist?list=PL82K0I4-0q_xmsiqdAmlWDfl4vDXvSzMO&si=GP3ISfAZNXXH9vTC| ICSTM| Year 1| Module 8      | 4 TRIAC & DIAC                              | Learn how TRIACs and DIACs work together as bidirectional semiconductor devices to achieve precise AC voltage control and triggering in ICT power circuits.                                      | xXjr3I0Bl-w?si=Vodxujidqw8v4qro
playlist?list=PL82K0I4-0q_w__AAgyTlKlh_tYAHs121p&si=qpDIZtX2S0wzJJD0| ICSTM| Year 1| Module 9      | 1 Series voltage regulators                 | Learn how series voltage regulators control output voltage by placing a transistor in series with the load to provide steady DC power for ICT hardware.                                          | /0WGZFY7pBaw?si=zpUGsDV9K1pYI4Ul
playlist?list=PL82K0I4-0q_w__AAgyTlKlh_tYAHs121p&si=qpDIZtX2S0wzJJD0| ICSTM| Year 1| Module 9      | 2 Regulators and inverters                  | Discover how voltage regulators and inverters work to maintain stable DC levels and convert DC back to AC for reliable backup power in ICT infrastructure.                                       | nK9bfMILP1c?si=WwsLrEMdFBiot1PQ
playlist?list=PL82K0I4-0q_w__AAgyTlKlh_tYAHs121p&si=qpDIZtX2S0wzJJD0| ICSTM| Year 1| Module 9      | 3 UPS                                       | Explore the different types of Uninterruptible Power Supplies ($UPS$) and learn how they provide critical backup power and surge protection for ICT systems.                                     | BLfrDnv4XDI?si=3E3U_hi-1ntdEDE5
playlist?list=PL82K0I4-0q_wP_Bxj5SqvptCpIVgfpQsJ&si=ihrfQC-5cLXAtNwr| ICSTM| Year 1| Module 10     | 1 Number systems and conversions            | Master the fundamentals of Binary, Octal, Decimal, and Hexadecimal number systems and learn how to convert between them for digital logic and ICT hardware diagnostics.                          | I5ShSko82DE?si=xYofmizs7P6hK6rt
playlist?list=PL82K0I4-0q_wP_Bxj5SqvptCpIVgfpQsJ&si=ihrfQC-5cLXAtNwr| ICSTM| Year 1| Module 10     | 2 Logic Gates                               | Understand the fundamental operation of AND, OR, NOT, and universal logic gates used to process digital signals and execute instructions in ICT hardware.                                        | /bQIQ-Gb2oEY?si=k57CdvK36p2sxjdN
playlist?list=PL82K0I4-0q_wP_Bxj5SqvptCpIVgfpQsJ&si=ihrfQC-5cLXAtNwr| ICSTM| Year 1| Module 10     | 3 Flip-flops)                               | Learn how different types of flip-flops serve as the fundamental bistable memory elements used to store binary data and build registers in ICT hardware.                                         | YwmPyn0LcR4?si=bILFAPl-8sS-05Cf
playlist?list=PL82K0I4-0q_wP_Bxj5SqvptCpIVgfpQsJ&si=ihrfQC-5cLXAtNwr| ICSTM| Year 1| Module 10     | 4 Karnaugh Map                              | Learn how to use Karnaugh Maps (K−maps) as a visual tool to simplify complex Boolean expressions and optimize digital logic circuits in ICT hardware.                                            | HYKmYa86hc8?si=mjF_aOA3ExXvJR5o
playlist?list=PL82K0I4-0q_wP_Bxj5SqvptCpIVgfpQsJ&si=ihrfQC-5cLXAtNwr| ICSTM| Year 1| Module 10     | 1 J.K flip-flop                             | Understand the operation, truth table, and toggle state of the JK flip-flop, the versatile digital memory element used to eliminate invalid states in ICT circuitry.                             | 8CrYBgb4Bt4?si=oDxbd62VE7xp4STK
playlist?list=PL82K0I4-0q_wP_Bxj5SqvptCpIVgfpQsJ&si=ihrfQC-5cLXAtNwr| ICSTM| Year 1| Module 10     | 2 Up/Down counters                          | Master the operation of asynchronous and synchronous Up/Down counters used for tracking sequences and timing operations in digital ICT hardware.                                                 | cfkgjSd0yRQ?si=flT6uFB7Flrv9zak
playlist?list=PL82K0I4-0q_wP_Bxj5SqvptCpIVgfpQsJ&si=ihrfQC-5cLXAtNwr| ICSTM| Year 1| Module 10     | 3 Binary arithmetic                         | Learn the rules of binary addition, subtraction, multiplication, and division required for computer processing and digital logic diagnostics in ICTSM.                                           | ysRuP-7UXvo?si=wq0-u5APXNJoSKwn
playlist?list=PL82K0I4-0q_wP_Bxj5SqvptCpIVgfpQsJ&si=ihrfQC-5cLXAtNwr| ICSTM| Year 1| Module 10     | 4 Multiplexers & Demultiplexers             | Discover how Multiplexers (MUX) and Demultiplexers (DEMUX) route multiple digital data streams over a single line to optimize data transmission in ICT networks.                                 | 2xyffhswmsA?si=J-3Oz8envCghkBzy
playlist?list=PL82K0I4-0q_wP_Bxj5SqvptCpIVgfpQsJ&si=ihrfQC-5cLXAtNwr| ICSTM| Year 1| Module 10     | 5 Analog-to-digital converter               | Understand how Analog-to-Digital Converters (ADCs) sample and quantize continuous real-world signals into discrete binary data for computer processing in ICT hardware.                          | 5rhGfa52_u8?si=smUlEtmEjFDy81kv
playlist?list=PL82K0I4-0q_wP_Bxj5SqvptCpIVgfpQsJ&si=ihrfQC-5cLXAtNwr| ICSTM| Year 1| Module 10     | 6 Shift registers                           | Learn how shift registers store and move binary data serially or in parallel to facilitate data transfer and conversion within digital ICT systems.                                              | M15bhbxkG_E?si=sh0XotHWZE34k69X
playlist?list=PL82K0I4-0q_yvG_ZlQsEh2FBDut2b2Z_m&si=mGYOybvx33tMbK_D| ICSTM| Year 1| Module 11     | 1 Batteries                                 | Explore the construction, working principles, and maintenance of different types of rechargeable batteries used to provide reliable backup power for ICT infrastructure.                         | MDD8UV_MUHo?si=fkbjy1hUMgPourKl
playlist?list=PL82K0I4-0q_yvG_ZlQsEh2FBDut2b2Z_m&si=mGYOybvx33tMbK_D| ICSTM| Year 1| Module 11     | 2 Lead acid battery                         | Learn the internal construction, chemical reactions, and maintenance procedures of Lead-Acid batteries used for heavy-duty power backup in ICTSM infrastructure.                                 | wimRx4aF5Nw?si=uF16Q9UuKzPEVhOR
playlist?list=PL82K0I4-0q_wCevdLVGAW_7MPfUp6aUEi&si=DuRcDq_csJB4z3ke| ICSTM| Year 1| Module 12     | 1 CRO                                       | Learn how to operate a Cathode Ray Oscilloscope ($CRO$) to visualize, measure, and analyze voltage waveforms and signal frequencies in electronic ICT circuits.                                  | AMmm2pMuoY0?si=tnkwyPYj6pVggxsp
playlist?list=PL82K0I4-0q_wCevdLVGAW_7MPfUp6aUEi&si=DuRcDq_csJB4z3ke| ICSTM| Year 1| Module 12     | 2 Wavefomer                                 | Learn how wave shaping circuits use diodes, resistors, and capacitors to clip or clamp electronic signals into desired waveforms for ICT equipment.                                              | T_E7yVFhaPI?si=885LMRzxVwNKhLpo
playlist?list=PL82K0I4-0q_wCevdLVGAW_7MPfUp6aUEi&si=DuRcDq_csJB4z3ke| ICSTM| Year 1| Module 12     | 3 Oscilloscope                              | Master the essentials of operating an oscilloscope to accurately measure, visualize, and troubleshoot voltage waveforms and high-frequency signals in digital ICT hardware.                      | cMp2n218Hvg?si=g6XU06MK1sL6ti2C
playlist?list=PL82K0I4-0q_wCevdLVGAW_7MPfUp6aUEi&si=DuRcDq_csJB4z3ke| ICSTM| Year 1| Module 12     | 4 Working of oscilloscope                   | Understand how an oscilloscope acquires, processes, and displays electrical signals in real time to visualize waveforms and troubleshoot ICT hardware circuits.                                  | TitQhLmSe0s?si=xk0AWwcich9VApnw
playlist?list=PL82K0I4-0q_wCevdLVGAW_7MPfUp6aUEi&si=DuRcDq_csJB4z3ke| ICSTM| Year 1| Module 12     | 5 Advance Oscilloscope                      | Explore the advanced features, digital storage capabilities, and automated measurement functions of modern digital oscilloscopes used for high-speed signal analysis in ICT hardware diagnostics.| YvAEzKsJ8e0?si=S4b0kVmu78If9F9n
playlist?list=PL82K0I4-0q_xY9NooO4shDpRMzhPJp3PU&si=tPRCNjdzvVI8-pM5| ICSTM| Year 1| Module 13     | 1 Gears,Blets,Stepper Motor                 | Understand how gears, belts, and stepper motors work together to provide precise mechanical motion control and positioning in automated ICT hardware and peripherals.                            | VkagjJsPFYE?si=uyMIIjjqlylRGHX-
playlist?list=PL82K0I4-0q_xY9NooO4shDpRMzhPJp3PU&si=tPRCNjdzvVI8-pM5| ICSTM| Year 1| Module 13     | 2 Microprocessor                            | Learn the architecture, bus structures, and instruction cycles of a microprocessor, the central brain that executes data processing tasks in digital ICT hardware.                               | VYhu19jwwqs?si=BtfvMKueT7AhkDNw
playlist?list=PL82K0I4-0q_x316at0dsnuz2xy1swjXCG&si=D9E5fhmS0c1OUj3z| ICSTM| Year 1| Module 14     | 1 MS Word                                   | Master the essential features of MS Word to create, format, and manage professional documents, templates, and reports required in day-to-day ICT administration.                                 | rTH4vZLMxZg?si=BwIPAVOZnNOs91ug
playlist?list=PL82K0I4-0q_x316at0dsnuz2xy1swjXCG&si=D9E5fhmS0c1OUj3z| ICSTM| Year 1| Module 14     | 2 Page layout and Mail merge                | Learn how to configure page layouts and use mail merge in MS Word to efficiently automate and customize bulk document generation for professional ICT operations.                                | Mw4xL2BFabw?si=ZD3oOO8WtEWscKZB
playlist?list=PL82K0I4-0q_zPsgvT_A08Sv8_jqzklw8_&si=TIIEz3V5frEBCrUa| ICSTM| Year 1| Module 15     | 1 MS Excel                                  | Master the essentials of MS Excel to build spreadsheets, apply formulas, and analyze data efficiently for tracking and managing resources in ICT operations.                                     | SQrkGX_zbyU?si=_cqDUvdhEKmpm1aP
playlist?list=PL82K0I4-0q_zPsgvT_A08Sv8_jqzklw8_&si=TIIEz3V5frEBCrUa| ICSTM| Year 1| Module 15     | 2 Function and Formulas in Excel            | Learn how to use essential Excel functions and formulas to automate data calculations, manipulate text, and analyze technical metrics in ICT management.                                         | qwsmCDKQS7g?si=74uxv9kOZO_Lo7bH
playlist?list=PL82K0I4-0q_xtLPPw579FaTpRfzbqX8vD&si=zaaf0MB-Zji9WlHW| ICSTM| Year 1| Module 16     | 3 Intro to computers                        | Explore the core components, processing architecture, and functional blocks of a computer system that form the foundation of IT hardware maintenance in ICTSM.                                   | DN1aJk6RnB4?si=buHH5IskFTLOEGDX
playlist?list=PL82K0I4-0q_xtLPPw579FaTpRfzbqX8vD&si=zaaf0MB-Zji9WlHW| ICSTM| Year 1| Module 16     | 4 Types of Computers                        | Explore the classification of computers based on size, functionality, and processing power—from microcomputers to supercomputers—used in diverse ICT infrastructures.                            | XNV4XjXZAE4?si=2diCv2xPiu14CSK0
playlist?list=PL82K0I4-0q_xtLPPw579FaTpRfzbqX8vD&si=zaaf0MB-Zji9WlHW| ICSTM| Year 1| Module 16     | 5 Electronic Tools                          | Discover the essential hand tools and specialized instruments required for safe, precise assembly and troubleshooting of electronic hardware in the ICTSM trade.                                 | Hw_hO-AEzfo?si=oWLNS69zxSo2YuEL
playlist?list=PL82K0I4-0q_xtLPPw579FaTpRfzbqX8vD&si=zaaf0MB-Zji9WlHW| ICSTM| Year 1| Module 16     | 6 Hardware Maintenance                      | Learn the essential practices of preventive maintenance, component cleaning, and hardware troubleshooting to ensure the reliability and longevity of IT systems and network equipment.           | l5u5Hw8QGbY?si=qjV9Ia522e1mxfsX
playlist?list=PL82K0I4-0q_xtLPPw579FaTpRfzbqX8vD&si=zaaf0MB-Zji9WlHW| ICSTM| Year 1| Module 16     | 7 Computer's Info                           | Discover the core building blocks of a computer system, exploring how hardware, software, and peripheral devices interface to process data in modern ICT networks.                               | xQVoESZakAI?si=sWd8wLPhrIuX4Kl-
playlist?list=PL82K0I4-0q_zKIYhlhWxtWVe1sr-o4zYF&si=I0wgxMI97OpC6sbL| ICTSM| Year 1| Module 38     | 1 SIMM & DIMM                               | Learn to identify, compare, and install SIMM and DIMM memory modules in computer motherboard slots, tailored for 1st-year students in the ICTSM Trade.                                           | nlhu4SX0IUw?si=bmdbxI-MjsmRr1_X
playlist?list=PL82K0I4-0q_y9a6LKUGDxO8Qdw1XWb1hb&si=1pR4BAu5F2_1un2o| ICTSM| Year 1| Module 37     | 1 CMOS battery                              | Learn the function, replacement procedures, and troubleshooting steps for the motherboard CMOS battery, tailored for 1st-year students in the ICTSM Trade.                                       | Exhq084ot7I?si=n5koNHIWlsviucJM
playlist?list=PL82K0I4-0q_y9a6LKUGDxO8Qdw1XWb1hb&si=1pR4BAu5F2_1un2o| ICTSM| Year 1| Module 37     | 2 Processor                                 | Learn the foundational architecture, clock speeds, and installation procedures of central processing units (CPUs), tailored for 1st-year students in the ICTSM Trade.                            | eT_CVOU5kiU?si=vWW_NR5Ju_DaEgFV
playlist?list=PL82K0I4-0q_yxra2_Vkk1U9jpvu6jJips&si=T849kKuAXYPsgylv| ICTSM| Year 1| Module 36     | 1 Mother Boar                               | Learn the layout, component sockets, and communication pathways of a computer motherboard, tailored for 1st-year students in the ICTSM Trade.                                                    | Lu0T0t0FTgQ?si=6GTJxy6wAAk0Ro24
playlist?list=PL82K0I4-0q_wf9byjJEVzDhCUT5PS0j7A&si=Mn2zSn-DMc9dKY4W| ICTSM| Year 1| Module 35     | 1 SMPS                                      | Learn the working principles, internal components, and voltage output regulations of a Switched-Mode Power Supply (SMPS), tailored for 1st-year students in the ICTSM Trade.                     | IEwCJqidDSA?si=NgrFa5-TKsZDia3C
playlist?list=PL82K0I4-0q_yDRoNn1OeuUvqke7vk5ZUb&si=ogqKqmvUIQcnodu-| ICTSM| Year 1| Module 34     | 1 Laptop Parts                              | Learn to identify and understand the core internal and external components of a laptop, tailored for 1st-year students in the ICTSM Trade.                                                       | wPaeZV-DSaw?si=IsVGNrIxeAXttkXK
playlist?list=PL82K0I4-0q_yDRoNn1OeuUvqke7vk5ZUb&si=ogqKqmvUIQcnodu-| ICTSM| Year 1| Module 34     | 2 Laptop parts                              | Learn the step-by-step assembly, disassembly, and specific component functions of laptop hardware, tailored for 1st-year students in the ICTSM Trade.                                            | tGJSfsm4KfE?si=wq8P050a1FiZvNQF
playlist?list=PL82K0I4-0q_zJ8nyRFrTfWALyms4XFzjO&si=H88lbMigKo1ueX_d| ICTSM| Year 1| Module 33     | 1 MS Outlook                                | Learn how to configure user profiles, navigate the interface, and manage email communication essentials in MS Outlook, tailored for 1st-year students in the ICTSM Trade.                        | BkFDxOhTUpE?si=3BR9RUty8mQSlCAg
playlist?list=PL82K0I4-0q_zLt4gYHX68Eyqcrl1eoecz&si=hlmM03lFBH70g_dO| ICTSM| Year 1| Module 32 & 31| 1 Junk Files Removal                        | Learn how to safely locate, clean, and permanently delete system junk files to optimize storage space, tailored for 1st-year students in the ICTSM Trade.                                        | miBsflPhbPw?si=N1j_lnbTOc1LWPgb
playlist?list=PL82K0I4-0q_zEqKnj8AeA-AVT1zWIo1wk&si=xE3OWoXWXno-aFBL| ICTSM| Year 1| Module 30     | 1 Windows Performance and System Speed      | Learn how to optimize system boot times, manage startup applications, and configure virtual memory settings to boost Windows performance, tailored for 1st-year students in the ICTSM Trade.     | tZtkWm0la88?si=bbHyKhiNhovks5rr
playlist?list=PL82K0I4-0q_zEqKnj8AeA-AVT1zWIo1wk&si=xE3OWoXWXno-aFBL| ICTSM| Year 1| Module 30     | 2 Windows Backup and Restore                | Learn how to configure system restore points, schedule regular data backups, and recover Windows operating systems, tailored for 1st-year students in the ICTSM Trade.                           | J095iv2I2sI?si=ugn7QWD2zu3S37Mb
playlist?list=PL82K0I4-0q_yxsT5Ei0YKObtD1M6sN1MI&si=4nMjjnhISaotWJpX| ICTSM| Year 1| Module 29     | 1 Hardware Driver Installation              | Learn how to identify, download, and install correct hardware drivers to ensure seamless device compatibility, tailored for 1st-year students in the ICTSM Trade.                                | JOLmIiTGYkI?si=0GZ5KoBEwYaGAqvM
